-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.02%       3.304ms        76.32%       11.876s       11.876s       2.135ms         0.02%       11.876s       11.876s             1  
                                           aten::linear         0.00%      68.000us        75.56%       11.757s       11.757s      68.000us         0.00%       11.756s       11.756s             1  
                                            aten::addmm        75.56%       11.757s        75.56%       11.757s       11.757s       11.756s        98.93%       11.756s       11.756s             1  
                                           aten::conv2d         0.00%     345.000us         0.53%      82.099ms       4.105ms     345.000us         0.00%      85.586ms       4.279ms            20  
                                      aten::convolution         0.00%     476.000us         0.53%      81.754ms       4.088ms     391.000us         0.00%      85.241ms       4.262ms            20  
                                     aten::_convolution         0.00%     435.000us         0.52%      81.278ms       4.064ms     377.000us         0.00%      84.850ms       4.242ms            20  
                               aten::miopen_convolution         0.52%      80.188ms         0.52%      80.843ms       4.042ms      84.137ms         0.71%      84.473ms       4.224ms            20  
                                            aten::relu_         0.00%     482.000us         0.08%      12.344ms     726.118us     299.000us         0.00%      11.863ms     697.824us            17  
                                       aten::clamp_min_         0.00%     318.000us         0.08%      11.862ms     697.765us     288.000us         0.00%      11.564ms     680.235us            17  
                                        aten::clamp_min         0.07%      11.544ms         0.07%      11.544ms     679.059us      11.276ms         0.09%      11.276ms     663.294us            17  
                                       aten::batch_norm         0.00%     332.000us         0.06%       8.857ms     442.850us     339.000us         0.00%       7.326ms     366.300us            20  
                                             aten::add_         0.05%       7.478ms         0.05%       7.478ms     267.071us       7.256ms         0.06%       7.256ms     259.143us            28  
                           aten::_batch_norm_impl_index         0.00%     427.000us         0.05%       8.525ms     426.250us     577.000us         0.00%       6.987ms     349.350us            20  
                                aten::miopen_batch_norm         0.04%       6.088ms         0.05%       7.767ms     388.350us       5.487ms         0.05%       6.240ms     312.000us            20  
                              aten::adaptive_avg_pool2d         0.00%      27.000us         0.03%       4.022ms       4.022ms      17.000us         0.00%       4.629ms       4.629ms             1  
                                             aten::mean         0.03%       3.995ms         0.03%       3.995ms       3.995ms       4.612ms         0.04%       4.612ms       4.612ms             1  
                                   miopenSp3AsmConv3x3F         0.00%       0.000us         0.00%       0.000us       0.000us       2.184ms         0.02%       2.184ms     218.400us            10  
                                       aten::max_pool2d         0.00%      30.000us         0.01%       1.229ms       1.229ms      30.000us         0.00%       1.314ms       1.314ms             1  
                          aten::max_pool2d_with_indices         0.01%       1.199ms         0.01%       1.199ms       1.199ms       1.284ms         0.01%       1.284ms       1.284ms             1  
             miopenSp3AsmConv_v21_1_3_gfx9_fp32_stride1         0.00%       0.000us         0.00%       0.000us       0.000us       1.231ms         0.01%       1.231ms     410.333us             3  
